<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS,1,20200826,142600,125960.0000000,126080.0000000,125940.0000000,126080.0000000,541
SPFB.RTS,1,20200826,142700,126070.0000000,126130.0000000,126060.0000000,126080.0000000,751
SPFB.RTS,1,20200826,142800,126090.0000000,126090.0000000,126030.0000000,126030.0000000,202
SPFB.RTS,1,20200826,142900,126040.0000000,126040.0000000,125980.0000000,125980.0000000,511
SPFB.RTS,1,20200826,143000,125980.0000000,126040.0000000,125960.0000000,125990.0000000,414
SPFB.RTS,1,20200826,143100,125990.0000000,126000.0000000,125920.0000000,125920.0000000,499
SPFB.RTS,1,20200826,143200,125920.0000000,125950.0000000,125910.0000000,125920.0000000,353
SPFB.RTS,1,20200826,143300,125930.0000000,125960.0000000,125900.0000000,125910.0000000,328
SPFB.RTS,1,20200826,143400,125910.0000000,125940.0000000,125890.0000000,125890.0000000,492
SPFB.RTS,1,20200826,143500,125890.0000000,125920.0000000,125860.0000000,125880.0000000,481
SPFB.RTS,1,20200826,143600,125870.0000000,125910.0000000,125850.0000000,125870.0000000,599
SPFB.RTS,1,20200826,143700,125870.0000000,125950.0000000,125840.0000000,125910.0000000,1111
SPFB.RTS,1,20200826,143800,125920.0000000,126080.0000000,125910.0000000,126080.0000000,1388
SPFB.RTS,1,20200826,143900,126060.0000000,126080.0000000,125950.0000000,126010.0000000,745
SPFB.RTS,1,20200826,144000,126010.0000000,126080.0000000,125990.0000000,126040.0000000,1050
SPFB.RTS,1,20200826,144100,126050.0000000,126060.0000000,125960.0000000,125990.0000000,419
SPFB.RTS,1,20200826,144200,125990.0000000,126010.0000000,125970.0000000,125980.0000000,152
SPFB.RTS,1,20200826,144300,125980.0000000,126130.0000000,125980.0000000,126130.0000000,1585
SPFB.RTS,1,20200826,144400,126130.0000000,126220.0000000,126110.0000000,126180.0000000,818
SPFB.RTS,1,20200826,144500,126170.0000000,126240.0000000,126170.0000000,126230.0000000,956
SPFB.RTS,1,20200826,144600,126220.0000000,126340.0000000,126200.0000000,126210.0000000,1989
SPFB.RTS,1,20200826,144700,126200.0000000,126240.0000000,126150.0000000,126180.0000000,457
